Market,Selection,Odds,matchup,timestamp
Money Line – Game,Merkezefendi Belediye,2.09,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:33:25
Total – Game,Under 170.5,1.819,Mersin BSB vs Tofas SK,2025-10-18 22:33:25
Total – Game,Over 170.5,1.847,Mersin BSB vs Tofas SK,2025-10-18 22:33:25
Handicap – Game,Tofas SK +3.0,1.833,Mersin BSB vs Tofas SK,2025-10-18 22:33:25
Handicap – Game,Mersin BSB -3.0,1.833,Mersin BSB vs Tofas SK,2025-10-18 22:33:25
Money Line – Game,Mersin BSB,1.584,Mersin BSB vs Tofas SK,2025-10-18 22:33:25
Total – Game,Under 169.5,1.826,Galatasaray vs Fenerbahce,2025-10-18 22:33:25
Total – Game,Over 169.5,1.84,Galatasaray vs Fenerbahce,2025-10-18 22:33:25
Handicap – Game,Fenerbahce -6.0,1.757,Galatasaray vs Fenerbahce,2025-10-18 22:33:25
Money Line – Game,Tofas SK,2.16,Mersin BSB vs Tofas SK,2025-10-18 22:33:25
Money Line – Game,Fenerbahce,1.281,Galatasaray vs Fenerbahce,2025-10-18 22:33:25
Money Line – Game,Galatasaray,3.03,Galatasaray vs Fenerbahce,2025-10-18 22:33:25
Total – Game,Under 161,1.806,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:33:25
Total – Game,Over 161,1.862,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:33:25
Handicap – Game,Trabzonspor -3.0,1.854,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:33:25
Handicap – Game,Merkezefendi Belediye +3.0,1.813,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:33:25
Money Line – Game,Trabzonspor,1.628,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:33:25
Handicap – Game,Galatasaray +6.0,1.917,Galatasaray vs Fenerbahce,2025-10-18 22:33:25
Total – Game,Under 169.5,1.826,Galatasaray vs Fenerbahce,2025-10-18 22:44:15
Money Line – Game,Mersin BSB,1.584,Mersin BSB vs Tofas SK,2025-10-18 22:44:15
Money Line – Game,Tofas SK,2.16,Mersin BSB vs Tofas SK,2025-10-18 22:44:15
Total – Game,Under 170.5,1.819,Mersin BSB vs Tofas SK,2025-10-18 22:44:15
Handicap – Game,Tofas SK +3.0,1.833,Mersin BSB vs Tofas SK,2025-10-18 22:44:15
Total – Game,Over 170.5,1.847,Mersin BSB vs Tofas SK,2025-10-18 22:44:15
Total – Game,Over 169.5,1.84,Galatasaray vs Fenerbahce,2025-10-18 22:44:15
Handicap – Game,Mersin BSB -3.0,1.833,Mersin BSB vs Tofas SK,2025-10-18 22:44:15
Handicap – Game,Fenerbahce -6.0,1.757,Galatasaray vs Fenerbahce,2025-10-18 22:44:15
Handicap – Game,Trabzonspor -3.0,1.854,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:44:15
Money Line – Game,Fenerbahce,1.281,Galatasaray vs Fenerbahce,2025-10-18 22:44:15
Money Line – Game,Galatasaray,3.03,Galatasaray vs Fenerbahce,2025-10-18 22:44:15
Total – Game,Under 161,1.806,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:44:15
Total – Game,Over 161,1.862,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:44:15
Handicap – Game,Merkezefendi Belediye +3.0,1.813,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:44:15
Money Line – Game,Trabzonspor,1.628,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:44:15
Money Line – Game,Merkezefendi Belediye,2.09,Merkezefendi Belediye vs Trabzonspor,2025-10-18 22:44:15
Handicap – Game,Galatasaray +6.0,1.917,Galatasaray vs Fenerbahce,2025-10-18 22:44:15
Money Line – Game,Pinar Karsiyaka,5.15,Pinar Karsiyaka vs Anadolu Efes SK,2025-10-19 20:30:17
Money Line – Game,Anadolu Efes SK,1.076,Pinar Karsiyaka vs Anadolu Efes SK,2025-10-19 20:30:17
Handicap – Game,Pinar Karsiyaka +11.5,1.8,Pinar Karsiyaka vs Anadolu Efes SK,2025-10-19 20:30:17
Handicap – Game,Anadolu Efes SK -11.5,1.869,Pinar Karsiyaka vs Anadolu Efes SK,2025-10-19 20:30:17
Total – Game,Over 163.5,1.862,Pinar Karsiyaka vs Anadolu Efes SK,2025-10-19 20:30:17
Total – Game,Under 163.5,1.806,Pinar Karsiyaka vs Anadolu Efes SK,2025-10-19 20:30:17
Total – Game,Under 163.5,1.806,Pinar Karsiyaka vs Anadolu Efes SK,2025-10-19 20:37:41
