team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Merkezefendi Belediye,Trabzonspor,https://www.pinnacle.com/en/basketball/turkey-super-league/merkezefendi-belediye-vs-trabzonspor/1617534971/,2.09,1.628,3.0,1.813,-3.0,1.854,161.0,1.862,161.0,1.806,2025-10-18 22:33:25
Galatasaray,Fenerbahce,https://www.pinnacle.com/en/basketball/turkey-super-league/galatasaray-vs-fenerbahce/1617554513/,3.03,1.281,6.0,1.917,-6.0,1.757,169.5,1.84,169.5,1.826,2025-10-18 22:33:25
Mersin BSB,Tofas SK,https://www.pinnacle.com/en/basketball/turkey-super-league/mersin-bsb-vs-tofas-sk/1617554569/,1.584,2.16,-3.0,1.833,3.0,1.833,170.5,1.847,170.5,1.819,2025-10-18 22:33:25
Merkezefendi Belediye,Trabzonspor,https://www.pinnacle.com/en/basketball/turkey-super-league/merkezefendi-belediye-vs-trabzonspor/1617534971/,2.09,1.628,3.0,1.813,-3.0,1.854,161.0,1.862,161.0,1.806,2025-10-18 22:44:15
Galatasaray,Fenerbahce,https://www.pinnacle.com/en/basketball/turkey-super-league/galatasaray-vs-fenerbahce/1617554513/,3.03,1.281,6.0,1.917,-6.0,1.757,169.5,1.84,169.5,1.826,2025-10-18 22:44:15
Mersin BSB,Tofas SK,https://www.pinnacle.com/en/basketball/turkey-super-league/mersin-bsb-vs-tofas-sk/1617554569/,1.584,2.16,-3.0,1.833,3.0,1.833,170.5,1.847,170.5,1.819,2025-10-18 22:44:15
Merkezefendi Belediye,Trabzonspor,https://www.pinnacle.com/en/basketball/turkey-super-league/merkezefendi-belediye-vs-trabzonspor/1617534971/,2.09,1.628,3.0,1.813,-3.0,1.854,161.0,1.862,161.0,1.806,2025-10-18 23:00:17
Galatasaray,Fenerbahce,https://www.pinnacle.com/en/basketball/turkey-super-league/galatasaray-vs-fenerbahce/1617554513/,3.03,1.281,6.0,1.917,-6.0,1.757,169.5,1.84,169.5,1.826,2025-10-18 23:00:17
Mersin BSB,Tofas SK,https://www.pinnacle.com/en/basketball/turkey-super-league/mersin-bsb-vs-tofas-sk/1617554569/,1.584,2.16,-3.0,1.833,3.0,1.833,170.5,1.847,170.5,1.819,2025-10-18 23:00:17
Merkezefendi Belediye,Trabzonspor,https://www.pinnacle.com/en/basketball/turkey-super-league/merkezefendi-belediye-vs-trabzonspor/1617534971/,2.09,1.628,3.0,1.813,-3.0,1.854,161.0,1.862,161.0,1.806,2025-10-18 23:27:29
