Market,Selection,Odds,matchup,timestamp
Money Line – Game,Harem Spor Kulubu,1.261,Harem Spor Kulubu vs Ormanspor,2025-09-20 23:11:26
Total – Game,Under 155,2.09,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 155.5,1.662,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 155.5,2.04,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 156,1.704,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 156,1.98,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 156.5,1.746,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 156.5,1.925,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 157,1.793,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 157,1.877,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 157.5,1.819,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 158,1.9,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 158,1.769,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 158.5,1.961,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 158.5,1.724,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 159,2.01,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 159,1.68,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 159.5,2.07,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 159.5,1.641,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 160,2.12,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Over 155,1.628,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Total – Game,Under 160,1.609,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol +1.5,1.529,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol +1.0,1.558,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor +5.0,1.518,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol -5.0,2.25,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor +4.5,1.561,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol -4.5,2.17,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor +4.0,1.609,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol -4.0,2.09,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor +3.5,1.666,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol -3.5,2.01,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor +3.0,1.735,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol -3.0,1.934,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor +2.5,1.813,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol -2.5,1.854,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor +2.0,1.909,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol -2.0,1.757,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor +1.5,2.0,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol -1.5,1.675,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor +1.0,2.06,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Gaziantep Basketbol -1.0,1.632,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor -1.0,2.18,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Handicap – Game,Balikesir Belediye Spor -1.5,2.23,Balikesir Belediye Spor vs Gaziantep Basketbol,2025-09-20 23:11:26
Money Line – Game,Goztepe,2.26,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Money Line – Game,Bordo Sportif RS,1.529,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Handicap – Game,Goztepe +6.0,1.549,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Under 153.5,2.04,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Over 154,1.699,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Under 154,1.98,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Over 154.5,1.746,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Under 154.5,1.934,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Over 155,1.793,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Under 155,1.877,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Over 155.5,1.847,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Under 155.5,1.819,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Over 156,1.9,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Under 156,1.769,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Over 156.5,1.952,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Under 156.5,1.724,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Over 157,2.01,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Under 157,1.68,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Over 157.5,2.06,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
Total – Game,Under 157.5,1.645,Goztepe vs Bordo Sportif RS,2025-09-20 23:11:26
