Market,Selection,Odds,matchup,timestamp
Money Line – Game,Darica Basketbol Feneri,1.396,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +5.5,2.06,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -6.0,1.68,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +6.0,1.99,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -6.5,1.746,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +6.5,1.917,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -7.0,1.819,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +7.0,1.84,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -7.5,1.9,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +7.5,1.769,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -8.0,1.99,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +8.0,1.694,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -8.5,2.07,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +8.5,1.628,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -9.0,2.15,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +9.0,1.574,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -9.5,2.24,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +9.5,1.529,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -10.0,2.32,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +10.0,1.487,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -5.5,1.628,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Yalova -5.0,1.584,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 129.5,1.591,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 129.5,2.15,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 134.5,1.645,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 134.5,2.06,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 134,1.68,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 134,2.01,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 133.5,1.719,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 133.5,1.961,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 133,1.763,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 133,1.909,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 132.5,1.813,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Money Line – Game,Yalova,1.233,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 132.5,1.854,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 132,1.8,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 131.5,1.925,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 131.5,1.751,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 131,1.98,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 131,1.704,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 130.5,2.04,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 130.5,1.662,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 130,2.09,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 130,1.625,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Under 132,1.869,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Money Line – Game,Secil Kaucuk Mersin,3.3,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Handicap – Game,Secil Kaucuk Mersin +5.0,2.13,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:06:13
Total – Game,Over 135,2.12,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -9.5,2.17,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +9.0,1.609,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -9.0,2.09,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +8.5,1.666,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -8.5,2.01,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +8.0,1.735,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -8.0,1.934,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +7.5,1.813,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -7.5,1.854,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +9.5,1.561,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +7.0,1.892,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +6.5,1.961,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -6.5,1.704,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +6.0,2.04,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -6.0,1.645,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +5.5,2.12,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -5.5,1.595,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +5.0,2.19,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -5.0,1.549,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 135,1.609,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -7.0,1.775,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Darica Basketbol Feneri -10.0,2.25,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Money Line – Game,Burhaniye,2.59,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 133.5,1.961,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 134.5,1.641,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 134.5,2.07,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 134,1.68,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 134,2.01,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 133.5,1.724,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Burhaniye +10.0,1.52,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 133,1.769,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 133,1.9,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 132.5,1.847,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 132.5,1.819,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 132,1.793,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 131.5,1.925,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 131.5,1.746,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 131,1.98,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 131,1.704,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 130.5,2.04,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 130.5,1.662,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 130,2.09,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Over 130,1.628,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Total – Game,Under 132,1.877,Darica Basketbol Feneri vs Burhaniye,2025-10-12 23:06:13
Handicap – Game,Yalova -7.0,1.819,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -7.5,1.9,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +7.0,1.84,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +6.5,1.917,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Money Line – Game,Yalova,1.233,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +6.0,1.99,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -6.0,1.68,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +5.5,2.06,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -6.5,1.746,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +7.5,1.769,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +10.0,1.487,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +8.0,1.694,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -8.5,2.07,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +8.5,1.628,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -9.0,2.15,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +9.0,1.574,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -9.5,2.24,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Secil Kaucuk Mersin +9.5,1.529,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -10.0,2.32,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -5.5,1.628,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -8.0,1.99,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Handicap – Game,Yalova -5.0,1.584,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Total – Game,Over 132,1.8,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
Total – Game,Under 129.5,2.15,Secil Kaucuk Mersin vs Yalova,2025-10-12 23:25:50
