Market,Selection,Odds,matchup,timestamp
Money Line – Game,Al Bataeh,3.410,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Money Line – Game,Al Sharjah UAE,1.259,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +9.5,1.546,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -9.5,2.310,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +9.0,1.588,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -9.0,2.220,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +8.5,1.636,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -8.5,2.140,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +8.0,1.694,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -8.0,2.060,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +7.5,1.763,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -7.5,1.980,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +7.0,1.840,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -7.0,1.892,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +6.5,1.925,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -6.5,1.813,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +6.0,2.000,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -6.0,1.740,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +5.5,2.070,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -5.5,1.680,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +5.0,2.150,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -5.0,1.628,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Bataeh +4.5,2.230,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Handicap – Game,Al Sharjah UAE -4.5,1.584,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 178,1.694,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 178,2.080,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 178.5,1.729,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 178.5,2.030,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 179,1.769,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 179,1.980,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 179.5,1.813,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 179.5,1.925,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 180,1.862,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 180,1.877,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 180.5,1.917,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 180.5,1.819,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 181,1.980,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 181,1.769,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 181.5,2.040,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 181.5,1.724,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 182,2.100,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 182,1.684,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 182.5,2.160,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 182.5,1.645,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Over 183,2.210,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
Total – Game,Under 183,1.613,Al Bataeh vs Al Sharjah UAE,2026-04-13 14:11:46
