Market,Selection,Odds,matchup,timestamp
Money Line – Game,UCU Canons,1.813,UCU Canons vs Kampala Rockets,2025-09-10 17:47:23
Money Line – Game,Kampala Rockets,1.787,UCU Canons vs Kampala Rockets,2025-09-10 17:47:23
Handicap – Game,UCU Canons +1.5,1.724,UCU Canons vs Kampala Rockets,2025-09-10 17:47:23
Handicap – Game,Kampala Rockets -1.5,1.877,UCU Canons vs Kampala Rockets,2025-09-10 17:47:23
Total – Game,Over 118.5,1.806,UCU Canons vs Kampala Rockets,2025-09-10 17:47:23
Total – Game,Under 118.5,1.793,UCU Canons vs Kampala Rockets,2025-09-10 17:47:23
Total – Game,Under 118.5,1.793,UCU Canons vs Kampala Rockets,2025-09-10 17:53:57
Handicap – Game,Kampala Rockets -1.5,1.877,UCU Canons vs Kampala Rockets,2025-09-10 17:53:57
Total – Game,Over 118.5,1.806,UCU Canons vs Kampala Rockets,2025-09-10 17:53:57
Money Line – Game,Kampala Rockets,1.787,UCU Canons vs Kampala Rockets,2025-09-10 17:53:57
Money Line – Game,UCU Canons,1.813,UCU Canons vs Kampala Rockets,2025-09-10 17:53:57
Handicap – Game,UCU Canons +1.5,1.724,UCU Canons vs Kampala Rockets,2025-09-10 17:53:57
Money Line – Game,City Oilers,1.653,City Oilers vs JT Jaguars,2025-09-11 17:43:06
Money Line – Game,JT Jaguars,1.97,City Oilers vs JT Jaguars,2025-09-11 17:43:06
Handicap – Game,City Oilers -1.5,1.729,City Oilers vs JT Jaguars,2025-09-11 17:43:06
Handicap – Game,JT Jaguars +1.5,1.869,City Oilers vs JT Jaguars,2025-09-11 17:43:06
Total – Game,Over 137.5,1.806,City Oilers vs JT Jaguars,2025-09-11 17:43:06
Total – Game,Under 137.5,1.793,City Oilers vs JT Jaguars,2025-09-11 17:43:06
Total – Game,Over 137.5,1.775,City Oilers vs JT Jaguars,2025-09-11 17:55:05
Total – Game,Under 137.5,1.826,City Oilers vs JT Jaguars,2025-09-11 17:55:05
Handicap – Game,JT Jaguars +6.0,1.769,City Oilers vs JT Jaguars,2025-09-11 17:55:05
Handicap – Game,City Oilers -6.0,1.833,City Oilers vs JT Jaguars,2025-09-11 17:55:05
Money Line – Game,JT Jaguars,2.51,City Oilers vs JT Jaguars,2025-09-11 17:55:05
Money Line – Game,City Oilers,1.378,City Oilers vs JT Jaguars,2025-09-11 17:55:05
Total – Game,Under 137.5,1.8,City Oilers vs Sommet BC,2025-09-16 11:48:12
Total – Game,Over 137.5,1.8,City Oilers vs Sommet BC,2025-09-16 11:48:12
Handicap – Game,Sommet BC +4.5,1.8,City Oilers vs Sommet BC,2025-09-16 11:48:12
Handicap – Game,City Oilers -4.5,1.8,City Oilers vs Sommet BC,2025-09-16 11:48:12
Money Line – Game,City Oilers,1.395,City Oilers vs Sommet BC,2025-09-16 11:48:12
Money Line – Game,Sommet BC,2.47,City Oilers vs Sommet BC,2025-09-16 11:48:12
Total – Game,Over 134.5,1.8,Namuwongo Blazers vs UCU Canons,2025-09-16 11:48:12
Handicap – Game,UCU Canons +8.5,1.8,Namuwongo Blazers vs UCU Canons,2025-09-16 11:48:12
Handicap – Game,Namuwongo Blazers -8.5,1.8,Namuwongo Blazers vs UCU Canons,2025-09-16 11:48:12
Money Line – Game,UCU Canons,3.58,Namuwongo Blazers vs UCU Canons,2025-09-16 11:48:12
Money Line – Game,Namuwongo Blazers,1.155,Namuwongo Blazers vs UCU Canons,2025-09-16 11:48:12
Total – Game,Under 134.5,1.8,Namuwongo Blazers vs UCU Canons,2025-09-16 11:48:12
Money Line – Game,Sommet BC,2.47,City Oilers vs Sommet BC,2025-09-16 11:58:47
Total – Game,Under 137.5,1.8,City Oilers vs Sommet BC,2025-09-16 11:58:47
Total – Game,Over 137.5,1.8,City Oilers vs Sommet BC,2025-09-16 11:58:47
Handicap – Game,Sommet BC +4.5,1.8,City Oilers vs Sommet BC,2025-09-16 11:58:47
Money Line – Game,City Oilers,1.395,City Oilers vs Sommet BC,2025-09-16 11:58:47
Handicap – Game,City Oilers -4.5,1.8,City Oilers vs Sommet BC,2025-09-16 11:58:47
Total – Game,Over 134.5,1.8,Namuwongo Blazers vs UCU Canons,2025-09-16 11:58:47
Money Line – Game,Namuwongo Blazers,1.155,Namuwongo Blazers vs UCU Canons,2025-09-16 11:58:47
Money Line – Game,UCU Canons,3.58,Namuwongo Blazers vs UCU Canons,2025-09-16 11:58:47
Total – Game,Under 134.5,1.8,Namuwongo Blazers vs UCU Canons,2025-09-16 11:58:47
Handicap – Game,UCU Canons +8.5,1.8,Namuwongo Blazers vs UCU Canons,2025-09-16 11:58:47
Handicap – Game,Namuwongo Blazers -8.5,1.8,Namuwongo Blazers vs UCU Canons,2025-09-16 11:58:47
Money Line – Game,Sommet BC,2.47,City Oilers vs Sommet BC,2025-09-16 13:48:21
Total – Game,Under 139.5,1.854,City Oilers vs Sommet BC,2025-09-16 13:48:21
Total – Game,Over 139.5,1.746,City Oilers vs Sommet BC,2025-09-16 13:48:21
Handicap – Game,Sommet BC +4.5,1.813,City Oilers vs Sommet BC,2025-09-16 13:48:21
Handicap – Game,City Oilers -4.5,1.787,City Oilers vs Sommet BC,2025-09-16 13:48:21
Money Line – Game,City Oilers,1.392,City Oilers vs Sommet BC,2025-09-16 13:48:21
Total – Game,Under 133.5,1.833,Namuwongo Blazers vs UCU Canons,2025-09-16 13:48:21
Total – Game,Over 133.5,1.769,Namuwongo Blazers vs UCU Canons,2025-09-16 13:48:21
Handicap – Game,UCU Canons +8.5,1.787,Namuwongo Blazers vs UCU Canons,2025-09-16 13:48:21
Handicap – Game,Namuwongo Blazers -8.5,1.813,Namuwongo Blazers vs UCU Canons,2025-09-16 13:48:21
Money Line – Game,UCU Canons,3.58,Namuwongo Blazers vs UCU Canons,2025-09-16 13:48:21
Money Line – Game,Namuwongo Blazers,1.156,Namuwongo Blazers vs UCU Canons,2025-09-16 13:48:21
Total – Game,Over 139.5,1.746,City Oilers vs Sommet BC,2025-09-16 14:04:02
Handicap – Game,Sommet BC +4.5,1.813,City Oilers vs Sommet BC,2025-09-16 14:04:02
Handicap – Game,City Oilers -4.5,1.787,City Oilers vs Sommet BC,2025-09-16 14:04:02
Money Line – Game,Sommet BC,2.47,City Oilers vs Sommet BC,2025-09-16 14:04:02
Money Line – Game,City Oilers,1.392,City Oilers vs Sommet BC,2025-09-16 14:04:02
Total – Game,Under 139.5,1.854,City Oilers vs Sommet BC,2025-09-16 14:04:02
Total – Game,Under 133.5,1.833,Namuwongo Blazers vs UCU Canons,2025-09-16 14:04:02
Handicap – Game,UCU Canons +8.5,1.787,Namuwongo Blazers vs UCU Canons,2025-09-16 14:04:02
Handicap – Game,Namuwongo Blazers -8.5,1.813,Namuwongo Blazers vs UCU Canons,2025-09-16 14:04:02
Money Line – Game,UCU Canons,3.58,Namuwongo Blazers vs UCU Canons,2025-09-16 14:04:02
Money Line – Game,Namuwongo Blazers,1.156,Namuwongo Blazers vs UCU Canons,2025-09-16 14:04:02
Total – Game,Over 133.5,1.769,Namuwongo Blazers vs UCU Canons,2025-09-16 14:04:02
Total – Game,Under 139.5,1.892,City Oilers vs Sommet BC,2025-09-16 14:29:38
Total – Game,Over 139.5,1.781,City Oilers vs Sommet BC,2025-09-16 14:29:38
Handicap – Game,Sommet BC +4.5,1.847,City Oilers vs Sommet BC,2025-09-16 14:29:38
Handicap – Game,City Oilers -4.5,1.819,City Oilers vs Sommet BC,2025-09-16 14:29:38
Money Line – Game,Sommet BC,2.52,City Oilers vs Sommet BC,2025-09-16 14:29:38
Money Line – Game,City Oilers,1.42,City Oilers vs Sommet BC,2025-09-16 14:29:38
Total – Game,Under 133.5,1.869,Namuwongo Blazers vs UCU Canons,2025-09-16 14:29:38
