team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
UCU Canons,Kampala Rockets,https://www.pinnacle.com/en/basketball/uganda-nbl/ucu-canons-vs-kampala-rockets/1615009209/,1.813,1.787,1.5,1.729,-1.5,1.877,122.0,1.8,122.0,1.8,2025-09-10 17:47:23
UCU Canons,Kampala Rockets,https://www.pinnacle.com/en/basketball/uganda-nbl/ucu-canons-vs-kampala-rockets/1615009209/,1.813,1.787,1.5,1.729,-1.5,1.877,122.0,1.8,122.0,1.8,2025-09-10 17:53:57
UCU Canons,Kampala Rockets,https://www.pinnacle.com/en/basketball/uganda-nbl/ucu-canons-vs-kampala-rockets/1615009209/,1.819,1.781,1.5,1.74,-1.5,1.862,130.5,1.793,130.5,1.806,2025-09-10 18:00:04
City Oilers,JT Jaguars,https://www.pinnacle.com/en/basketball/uganda-nbl/city-oilers-vs-jt-jaguars/1615087826/,,,,,,,,,,,2025-09-11 15:46:21
City Oilers,JT Jaguars,https://www.pinnacle.com/en/basketball/uganda-nbl/city-oilers-vs-jt-jaguars/1615087826/,,,,,,,,,,,2025-09-11 15:56:21
City Oilers,JT Jaguars,https://www.pinnacle.com/en/basketball/uganda-nbl/city-oilers-vs-jt-jaguars/1615087826/,1.653,1.97,-1.5,1.729,1.5,1.869,137.5,1.806,137.5,1.793,2025-09-11 16:39:54
City Oilers,JT Jaguars,https://www.pinnacle.com/en/basketball/uganda-nbl/city-oilers-vs-jt-jaguars/1615087826/,1.653,1.97,-1.5,1.729,1.5,1.869,137.5,1.806,137.5,1.793,2025-09-11 16:49:22
City Oilers,JT Jaguars,https://www.pinnacle.com/en/basketball/uganda-nbl/city-oilers-vs-jt-jaguars/1615087826/,1.653,1.97,-1.5,1.729,1.5,1.869,137.5,1.806,137.5,1.793,2025-09-11 17:02:51
City Oilers,JT Jaguars,https://www.pinnacle.com/en/basketball/uganda-nbl/city-oilers-vs-jt-jaguars/1615087826/,1.653,1.97,-1.5,1.729,1.5,1.869,137.5,1.806,137.5,1.793,2025-09-11 17:08:59
City Oilers,JT Jaguars,https://www.pinnacle.com/en/basketball/uganda-nbl/city-oilers-vs-jt-jaguars/1615087826/,1.653,1.97,-1.5,1.729,1.5,1.869,137.5,1.806,137.5,1.793,2025-09-11 17:15:42
