Market,Selection,Odds,matchup,timestamp
Money Line – Game,Defensor Sporting,1.418,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 127,2.14,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 127.5,1.689,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 127.5,2.09,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 128,1.729,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 128,2.03,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 128.5,1.769,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 128.5,1.98,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 129,1.819,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 129,1.925,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 127,1.653,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 129.5,1.869,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 130,1.925,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 130,1.813,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 130.5,1.98,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 130.5,1.769,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 131,1.724,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 131.5,2.1,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 131.5,1.684,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 132,2.15,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 132,1.649,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Under 129.5,1.869,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +7.0,1.598,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Total – Game,Over 131,2.04,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +6.5,1.641,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -7.0,2.21,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Money Line – Game,Malvin,2.68,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -2.0,1.54,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +2.0,2.32,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -2.5,1.578,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +2.5,2.25,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +3.0,2.16,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -3.5,1.68,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +3.5,2.08,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -4.0,1.751,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -3.0,1.625,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -4.5,1.826,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -6.5,2.13,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +4.0,2.0,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -6.0,2.05,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +5.5,1.757,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -5.5,1.98,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +6.0,1.694,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Defensor Sporting -5.0,1.9,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +4.5,1.917,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Handicap – Game,Malvin +5.0,1.826,Defensor Sporting vs Malvin,2025-10-12 22:34:59
Money Line – Game,Defensor Sporting,1.418,Defensor Sporting vs Malvin,2025-10-12 22:43:50
Money Line – Game,Malvin,2.68,Defensor Sporting vs Malvin,2025-10-12 22:43:50
Handicap – Game,Defensor Sporting -4.5,1.826,Defensor Sporting vs Malvin,2025-10-12 22:43:50
Handicap – Game,Malvin +4.5,1.917,Defensor Sporting vs Malvin,2025-10-12 22:43:50
Total – Game,Over 129.5,1.869,Defensor Sporting vs Malvin,2025-10-12 22:43:50
Total – Game,Under 129.5,1.869,Defensor Sporting vs Malvin,2025-10-12 22:43:50
Total – Game,Under 129.5,1.869,Defensor Sporting vs Malvin,2025-10-12 22:48:49
Total – Game,Over 129.5,1.869,Defensor Sporting vs Malvin,2025-10-12 22:48:49
Handicap – Game,Malvin +4.5,1.917,Defensor Sporting vs Malvin,2025-10-12 22:48:49
Money Line – Game,Defensor Sporting,1.436,Defensor Sporting vs Malvin,2025-10-12 22:48:49
Money Line – Game,Malvin,2.62,Defensor Sporting vs Malvin,2025-10-12 22:48:49
Handicap – Game,Defensor Sporting -4.5,1.826,Defensor Sporting vs Malvin,2025-10-12 22:48:49
Total – Game,Under 131,2.08,Malvin vs Defensor Sporting,2025-10-14 03:14:00
Total – Game,Over 131.5,1.671,Malvin vs Defensor Sporting,2025-10-14 03:14:00
Total – Game,Under 131.5,2.02,Malvin vs Defensor Sporting,2025-10-14 03:14:00
Total – Game,Over 132,1.709,Malvin vs Defensor Sporting,2025-10-14 03:14:00
Total – Game,Under 132,1.97,Malvin vs Defensor Sporting,2025-10-14 03:14:00
