team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.45,2.58,-5.0,1.943,5.0,1.8,168.5,1.917,168.5,1.819,2025-10-09 03:13:04
Hebraica Macabi,Union Atletica,https://www.pinnacle.com/en/basketball/uruguay-liga/hebraica-macabi-vs-union-atletica/1617064699/,1.322,3.05,-6.0,1.884,6.0,1.854,163.5,1.952,163.5,1.793,2025-10-09 17:33:25
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.584,2.26,-3.5,1.877,3.5,1.862,168.5,1.934,168.5,1.806,2025-10-09 17:33:25
Hebraica Macabi,Union Atletica,https://www.pinnacle.com/en/basketball/uruguay-liga/hebraica-macabi-vs-union-atletica/1617064699/,1.322,3.05,-6.0,1.884,6.0,1.854,163.5,1.952,163.5,1.793,2025-10-09 17:46:53
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.584,2.26,-3.5,1.877,3.5,1.862,168.5,1.934,168.5,1.806,2025-10-09 17:46:53
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.584,2.26,-3.5,1.877,3.5,1.862,168.5,1.934,168.5,1.806,2025-10-09 18:01:18
Hebraica Macabi,Union Atletica,https://www.pinnacle.com/en/basketball/uruguay-liga/hebraica-macabi-vs-union-atletica/1617064699/,1.322,3.05,-6.0,1.884,6.0,1.854,163.5,1.952,163.5,1.793,2025-10-09 18:01:18
Hebraica Macabi,Union Atletica,https://www.pinnacle.com/en/basketball/uruguay-liga/hebraica-macabi-vs-union-atletica/1617064699/,1.322,3.05,-6.0,1.884,6.0,1.854,163.5,1.952,163.5,1.793,2025-10-09 18:39:50
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.45,2.58,-5.0,1.862,5.0,1.877,168.5,1.925,168.5,1.813,2025-10-09 18:39:50
Hebraica Macabi,Union Atletica,https://www.pinnacle.com/en/basketball/uruguay-liga/hebraica-macabi-vs-union-atletica/1617064699/,1.322,3.05,-6.0,1.884,6.0,1.854,163.5,1.952,163.5,1.793,2025-10-09 19:00:22
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.45,2.58,-5.0,1.862,5.0,1.877,168.5,1.925,168.5,1.813,2025-10-09 19:00:22
Hebraica Macabi,Union Atletica,https://www.pinnacle.com/en/basketball/uruguay-liga/hebraica-macabi-vs-union-atletica/1617064699/,1.322,3.05,-6.0,1.884,6.0,1.854,163.5,1.952,163.5,1.793,2025-10-09 19:44:05
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.45,2.58,-5.0,1.862,5.0,1.877,168.5,1.925,168.5,1.813,2025-10-09 19:44:05
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.45,2.58,-5.0,1.862,5.0,1.877,168.5,1.925,168.5,1.813,2025-10-09 19:57:22
Hebraica Macabi,Union Atletica,https://www.pinnacle.com/en/basketball/uruguay-liga/hebraica-macabi-vs-union-atletica/1617064699/,1.322,3.05,-6.0,1.884,6.0,1.854,163.5,1.952,163.5,1.793,2025-10-09 19:57:22
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.45,2.58,-5.0,1.862,5.0,1.877,168.5,1.925,168.5,1.813,2025-10-09 20:04:14
Hebraica Macabi,Union Atletica,https://www.pinnacle.com/en/basketball/uruguay-liga/hebraica-macabi-vs-union-atletica/1617064699/,1.322,3.05,-6.0,1.884,6.0,1.854,163.5,1.952,163.5,1.793,2025-10-09 20:04:14
Urunday Universitario,CA Welcome,https://www.pinnacle.com/en/basketball/uruguay-liga/urunday-universitario-vs-ca-welcome/1617083783/,1.442,2.6,-5.0,1.854,5.0,1.884,168.5,1.925,168.5,1.813,2025-10-09 20:31:06
