Market,Selection,Odds,matchup,timestamp
Money Line – Game,CS Larranaga,1.598,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:20:51
Money Line – Game,Verdirrojo BBC,2.24,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:20:51
Handicap – Game,CS Larranaga -3.0,1.847,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:20:51
Handicap – Game,Verdirrojo BBC +3.0,1.892,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:20:51
Total – Game,Over 154,1.869,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:20:51
Total – Game,Under 154,1.869,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:20:51
Total – Game,Under 154,1.869,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:41:21
Total – Game,Over 154,1.869,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:41:21
Handicap – Game,Verdirrojo BBC +3.0,1.892,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:41:21
Money Line – Game,Verdirrojo BBC,2.24,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:41:21
Money Line – Game,CS Larranaga,1.598,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:41:21
Handicap – Game,CS Larranaga -3.0,1.847,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:41:21
Money Line – Game,CS Larranaga,1.598,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:46:33
Money Line – Game,Verdirrojo BBC,2.24,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:46:33
Handicap – Game,CS Larranaga -3.0,1.847,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:46:33
Handicap – Game,Verdirrojo BBC +3.0,1.892,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:46:33
Total – Game,Over 154,1.869,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:46:33
Total – Game,Under 154,1.869,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:46:33
Total – Game,Under 154,1.869,CS Larranaga vs Verdirrojo BBC,2025-09-16 23:55:58
