team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
CS Larranaga,Verdirrojo BBC,https://www.pinnacle.com/en/basketball/uruguay-metro-league/cs-larranaga-vs-verdirrojo-bbc/1615401618/,1.598,2.24,-3.0,1.847,3.0,1.892,154.0,1.869,154.0,1.869,2025-09-16 23:20:51
CS Larranaga,Verdirrojo BBC,https://www.pinnacle.com/en/basketball/uruguay-metro-league/cs-larranaga-vs-verdirrojo-bbc/1615401618/,1.598,2.24,-3.0,1.847,3.0,1.892,154.0,1.869,154.0,1.869,2025-09-16 23:41:21
CS Larranaga,Verdirrojo BBC,https://www.pinnacle.com/en/basketball/uruguay-metro-league/cs-larranaga-vs-verdirrojo-bbc/1615401618/,1.598,2.24,-3.0,1.847,3.0,1.892,154.0,1.869,154.0,1.869,2025-09-16 23:46:33
CS Larranaga,Verdirrojo BBC,https://www.pinnacle.com/en/basketball/uruguay-metro-league/cs-larranaga-vs-verdirrojo-bbc/1615401618/,1.598,2.24,-3.0,1.847,3.0,1.892,154.0,1.869,154.0,1.869,2025-09-16 23:55:58
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.826,-3.0,1.917,150.0,1.819,150.0,1.917,2025-09-18 18:40:58
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.826,-3.0,1.917,150.0,1.819,150.0,1.917,2025-09-18 18:46:25
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.826,-3.0,1.917,150.0,1.819,150.0,1.917,2025-09-18 19:00:47
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.625,3.0,1.819,-3.0,1.925,148.5,1.854,148.5,1.884,2025-09-18 19:24:14
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.625,3.0,1.819,-3.0,1.925,148.5,1.854,148.5,1.884,2025-09-18 19:57:48
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.625,3.0,1.819,-3.0,1.925,148.5,1.854,148.5,1.884,2025-09-18 20:02:35
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.625,3.0,1.819,-3.0,1.925,148.5,1.854,148.5,1.884,2025-09-18 20:30:24
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.625,3.0,1.819,-3.0,1.925,148.5,1.854,148.5,1.884,2025-09-18 20:35:02
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.819,-3.0,1.917,148.5,1.847,148.5,1.892,2025-09-18 21:00:18
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.819,-3.0,1.917,148.5,1.847,148.5,1.892,2025-09-18 21:26:36
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.819,-3.0,1.917,148.5,1.847,148.5,1.892,2025-09-18 21:30:45
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.819,-3.0,1.917,148.5,1.847,148.5,1.892,2025-09-18 21:56:21
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.819,-3.0,1.917,148.5,1.847,148.5,1.892,2025-09-18 22:01:12
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.819,-3.0,1.917,148.5,1.847,148.5,1.892,2025-09-18 22:56:26
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.819,-3.0,1.917,148.5,1.847,148.5,1.892,2025-09-18 23:24:10
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.19,1.621,3.0,1.819,-3.0,1.917,148.5,1.847,148.5,1.892,2025-09-18 23:29:38
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.29,1.571,2.5,1.892,-2.5,1.84,148.5,1.862,148.5,1.877,2025-09-18 23:42:40
Club Atletico Atenas,CS Larranaga,https://www.pinnacle.com/en/basketball/uruguay-metro-league/club-atletico-atenas-vs-cs-larranaga/1615510676/,2.29,1.571,2.5,1.892,-2.5,1.84,148.5,1.862,148.5,1.877,2025-09-18 23:49:17
