Market,Selection,Odds,matchup,timestamp
Money Line – Game,Capurro,1.25,Capurro vs Albatros,2025-10-12 22:35:05
Total – Game,Under 168.5,1.854,Defensores de Maronas vs Auriblanco,2025-10-12 22:35:05
Total – Game,Over 168.5,1.877,Defensores de Maronas vs Auriblanco,2025-10-12 22:35:05
Handicap – Game,Auriblanco +4.0,1.862,Defensores de Maronas vs Auriblanco,2025-10-12 22:35:05
Money Line – Game,Auriblanco,2.46,Defensores de Maronas vs Auriblanco,2025-10-12 22:35:05
Money Line – Game,Defensores de Maronas,1.497,Defensores de Maronas vs Auriblanco,2025-10-12 22:35:05
Total – Game,Under 157.5,1.884,Sayago vs CA 25 de Agosto,2025-10-12 22:35:05
Total – Game,Over 157.5,1.854,Sayago vs CA 25 de Agosto,2025-10-12 22:35:05
Handicap – Game,CA 25 de Agosto +8.5,1.869,Sayago vs CA 25 de Agosto,2025-10-12 22:35:05
Handicap – Game,Defensores de Maronas -4.0,1.877,Defensores de Maronas vs Auriblanco,2025-10-12 22:35:05
Money Line – Game,CA 25 de Agosto,3.89,Sayago vs CA 25 de Agosto,2025-10-12 22:35:05
Money Line – Game,Sayago,1.198,Sayago vs CA 25 de Agosto,2025-10-12 22:35:05
Total – Game,Under 151.5,1.869,Capurro vs Albatros,2025-10-12 22:35:05
Total – Game,Over 151.5,1.869,Capurro vs Albatros,2025-10-12 22:35:05
Handicap – Game,Albatros +7.5,1.884,Capurro vs Albatros,2025-10-12 22:35:05
Handicap – Game,Capurro -7.5,1.854,Capurro vs Albatros,2025-10-12 22:35:05
Money Line – Game,Albatros,3.47,Capurro vs Albatros,2025-10-12 22:35:05
Handicap – Game,Sayago -8.5,1.869,Sayago vs CA 25 de Agosto,2025-10-12 22:35:05
Handicap – Game,Sayago -8.5,1.869,Sayago vs CA 25 de Agosto,2025-10-12 22:43:55
Handicap – Game,CA 25 de Agosto +8.5,1.869,Sayago vs CA 25 de Agosto,2025-10-12 22:43:55
Total – Game,Over 157.5,1.854,Sayago vs CA 25 de Agosto,2025-10-12 22:43:55
Total – Game,Under 157.5,1.884,Sayago vs CA 25 de Agosto,2025-10-12 22:43:55
Total – Game,Over 169.5,1.862,Defensores de Maronas vs Auriblanco,2025-10-12 22:43:55
Handicap – Game,Defensores de Maronas -4.0,1.877,Defensores de Maronas vs Auriblanco,2025-10-12 22:43:55
Handicap – Game,Auriblanco +4.0,1.862,Defensores de Maronas vs Auriblanco,2025-10-12 22:43:55
Total – Game,Under 169.5,1.877,Defensores de Maronas vs Auriblanco,2025-10-12 22:43:55
Money Line – Game,CA 25 de Agosto,3.89,Sayago vs CA 25 de Agosto,2025-10-12 22:43:55
Money Line – Game,Defensores de Maronas,1.497,Defensores de Maronas vs Auriblanco,2025-10-12 22:43:55
Money Line – Game,Sayago,1.198,Sayago vs CA 25 de Agosto,2025-10-12 22:43:55
Money Line – Game,Auriblanco,2.46,Defensores de Maronas vs Auriblanco,2025-10-12 22:43:55
Total – Game,Over 159.5,1.884,San Telmo vs Reducto,2025-10-12 22:43:55
Total – Game,Under 159.5,1.854,San Telmo vs Reducto,2025-10-12 22:43:55
Money Line – Game,Capurro,1.25,Capurro vs Albatros,2025-10-12 22:43:55
Money Line – Game,Albatros,3.47,Capurro vs Albatros,2025-10-12 22:43:55
Handicap – Game,Capurro -7.5,1.854,Capurro vs Albatros,2025-10-12 22:43:55
Total – Game,Over 151.5,1.869,Capurro vs Albatros,2025-10-12 22:43:55
Handicap – Game,Albatros +7.5,1.884,Capurro vs Albatros,2025-10-12 22:43:55
Money Line – Game,San Telmo,1.571,San Telmo vs Reducto,2025-10-12 22:43:55
Money Line – Game,Reducto,2.29,San Telmo vs Reducto,2025-10-12 22:43:55
Handicap – Game,San Telmo -3.5,1.869,San Telmo vs Reducto,2025-10-12 22:43:55
Handicap – Game,Reducto +3.5,1.869,San Telmo vs Reducto,2025-10-12 22:43:55
Total – Game,Under 151.5,1.869,Capurro vs Albatros,2025-10-12 22:43:55
Total – Game,Over 161,2.04,Olivol Mundial vs Ateneo de Piriapolis,2025-10-15 18:41:27
Handicap – Game,Defensores de Maronas -5.5,1.505,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
Total – Game,Under 161,1.662,Olivol Mundial vs Ateneo de Piriapolis,2025-10-15 18:41:27
Money Line – Game,Defensores de Maronas,1.207,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
Money Line – Game,BBC Layva,3.48,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
Handicap – Game,BBC Layva +5.5,2.28,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
Handicap – Game,Defensores de Maronas -7.0,1.649,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
Handicap – Game,BBC Layva +6.0,2.2,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
Handicap – Game,Defensores de Maronas -6.5,1.591,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
Handicap – Game,BBC Layva +6.5,2.12,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
Total – Game,Under 160.5,1.699,Olivol Mundial vs Ateneo de Piriapolis,2025-10-15 18:41:27
Handicap – Game,BBC Layva +7.0,2.04,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
Handicap – Game,Defensores de Maronas -7.5,1.714,Defensores de Maronas vs BBC Layva,2025-10-15 18:41:27
