Market,Selection,Odds,matchup,timestamp
Money Line – Game,Piratas de La Guaira,2.02,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:40:55
Money Line – Game,Guaiqueries De Margarita,1.74,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:40:55
Handicap – Game,Piratas de La Guaira +2.0,1.854,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:40:55
Handicap – Game,Guaiqueries De Margarita -2.0,1.884,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:40:55
Total – Game,Over 158,1.961,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:40:55
Total – Game,Under 158,1.787,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:40:55
Money Line – Game,Marinos de Anzoategui,1.031,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Money Line – Game,Panteras De Miranda,8.55,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -15.0,1.52,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +15.0,2.25,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -15.5,1.561,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +15.5,2.17,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -16.0,1.609,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +16.0,2.09,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -16.5,1.666,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +16.5,2.01,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -17.0,1.735,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +17.0,1.934,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -17.5,1.847,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +17.5,1.892,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -18.0,1.892,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +18.0,1.769,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -18.5,1.97,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +18.5,1.704,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -19.0,2.04,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +19.0,1.641,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -19.5,2.12,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +19.5,1.591,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Marinos de Anzoategui -20.0,2.2,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Handicap – Game,Panteras De Miranda +20.0,1.549,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 154,1.588,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 154,2.15,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 154.5,1.621,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 154.5,2.1,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 155,1.657,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 155,2.04,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 155.5,1.699,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 155.5,1.99,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 156,1.746,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 156,1.925,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 156.5,1.826,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 156.5,1.909,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 157,1.847,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 157,1.819,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 157.5,1.9,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 157.5,1.769,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 158,1.952,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 158,1.724,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 158.5,2.0,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 158.5,1.684,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Over 159,2.06,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Total – Game,Under 159,1.649,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:40:55
Money Line – Game,Piratas de La Guaira,2.34,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:57:16
Money Line – Game,Guaiqueries De Margarita,1.546,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:57:16
Handicap – Game,Piratas de La Guaira +3.5,1.862,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:57:16
Handicap – Game,Guaiqueries De Margarita -3.5,1.877,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:57:16
Total – Game,Over 158,1.952,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:57:16
Total – Game,Under 158,1.793,Piratas de La Guaira vs Guaiqueries De Margarita,2026-03-07 21:57:16
Money Line – Game,Marinos de Anzoategui,1.031,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Money Line – Game,Panteras De Miranda,8.55,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -15.0,1.52,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +15.0,2.25,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -15.5,1.561,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +15.5,2.17,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -16.0,1.609,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +16.0,2.09,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -16.5,1.666,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +16.5,2.01,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -17.0,1.735,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +17.0,1.934,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -17.5,1.847,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +17.5,1.892,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -18.0,1.892,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +18.0,1.769,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -18.5,1.97,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +18.5,1.704,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -19.0,2.04,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +19.0,1.641,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -19.5,2.12,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +19.5,1.591,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Marinos de Anzoategui -20.0,2.2,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Handicap – Game,Panteras De Miranda +20.0,1.549,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Over 154,1.588,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Under 154,2.15,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Over 154.5,1.621,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Under 154.5,2.1,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Over 155,1.657,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Under 155,2.04,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Over 155.5,1.699,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Under 155.5,1.99,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Over 156,1.746,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Under 156,1.925,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Over 156.5,1.826,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Under 156.5,1.909,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Over 157,1.847,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Under 157,1.819,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
Total – Game,Over 157.5,1.9,Marinos de Anzoategui vs Panteras De Miranda,2026-03-07 21:57:16
