team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Piratas de La Guaira,Guaiqueries De Margarita,https://www.pinnacle.com/en/basketball/venezuela-superliga/piratas-de-la-guaira-vs-guaiqueries-de-margarita/1625587694/,1.99,1.763,2.0,1.854,-2.0,1.884,158.0,1.952,158.0,1.793,2026-03-07 21:40:55
Marinos de Anzoategui,Panteras De Miranda,https://www.pinnacle.com/en/basketball/venezuela-superliga/marinos-de-anzoategui-vs-panteras-de-miranda/1625553028/,1.031,8.55,-17.5,1.847,17.5,1.892,156.5,1.826,156.5,1.909,2026-03-07 21:40:55
Piratas de La Guaira,Guaiqueries De Margarita,https://www.pinnacle.com/en/basketball/venezuela-superliga/piratas-de-la-guaira-vs-guaiqueries-de-margarita/1625587694/,2.5,1.478,4.5,1.84,-4.5,1.9,158.0,1.943,158.0,1.8,2026-03-07 21:57:16
Marinos de Anzoategui,Panteras De Miranda,https://www.pinnacle.com/en/basketball/venezuela-superliga/marinos-de-anzoategui-vs-panteras-de-miranda/1625553028/,1.031,8.55,-17.5,1.847,17.5,1.892,156.5,1.826,156.5,1.909,2026-03-07 21:57:16
Marinos de Anzoategui,Panteras De Miranda,https://www.pinnacle.com/en/basketball/venezuela-superliga/marinos-de-anzoategui-vs-panteras-de-miranda/1625553028/,1.031,8.55,-17.5,1.847,17.5,1.892,156.5,1.826,156.5,1.909,2026-03-07 22:20:45
Marinos de Anzoategui,Panteras De Miranda,https://www.pinnacle.com/en/basketball/venezuela-superliga/marinos-de-anzoategui-vs-panteras-de-miranda/1625553028/,1.029,8.76,-17.5,1.847,17.5,1.892,156.5,1.826,156.5,1.909,2026-03-07 22:50:59
Spartans Distrito Capital,Guaiqueries De Margarita,https://www.pinnacle.com/en/basketball/venezuela-superliga/spartans-distrito-capital-vs-guaiqueries-de-margarita/1625663481/,1.418,2.68,-5.0,1.917,5.0,1.826,155.0,1.909,155.0,1.826,2026-03-08 19:03:07
Cocodrilos de Caracas,Centauros de Portuguesa,https://www.pinnacle.com/en/basketball/venezuela-superliga/cocodrilos-de-caracas-vs-centauros-de-portuguesa/1625656536/,1.092,5.56,-11.5,1.869,11.5,1.869,151.5,1.877,151.5,1.862,2026-03-08 19:03:07
Pioneros Del Avila,Piratas de La Guaira,https://www.pinnacle.com/en/basketball/venezuela-superliga/pioneros-del-avila-vs-piratas-de-la-guaira/1625658165/,1.34,2.98,-5.5,1.84,5.5,1.892,161.5,1.917,161.5,1.819,2026-03-08 19:03:07
Brillantes del Zulia,Heroes de Falcon,https://www.pinnacle.com/en/basketball/venezuela-superliga/brillantes-del-zulia-vs-heroes-de-falcon/1625656535/,1.763,1.99,-1.5,1.833,1.5,1.9,155.5,1.869,155.5,1.869,2026-03-08 19:03:07
Spartans Distrito Capital,Guaiqueries De Margarita,https://www.pinnacle.com/en/basketball/venezuela-superliga/spartans-distrito-capital-vs-guaiqueries-de-margarita/1625663481/,1.418,2.68,-5.0,1.917,5.0,1.826,155.0,1.909,155.0,1.826,2026-03-08 19:25:18
Cocodrilos de Caracas,Centauros de Portuguesa,https://www.pinnacle.com/en/basketball/venezuela-superliga/cocodrilos-de-caracas-vs-centauros-de-portuguesa/1625656536/,1.092,5.56,-11.5,1.869,11.5,1.869,151.5,1.877,151.5,1.862,2026-03-08 19:25:18
Pioneros Del Avila,Piratas de La Guaira,https://www.pinnacle.com/en/basketball/venezuela-superliga/pioneros-del-avila-vs-piratas-de-la-guaira/1625658165/,1.34,2.98,-5.5,1.84,5.5,1.892,161.5,1.917,161.5,1.819,2026-03-08 19:25:18
Brillantes del Zulia,Heroes de Falcon,https://www.pinnacle.com/en/basketball/venezuela-superliga/brillantes-del-zulia-vs-heroes-de-falcon/1625656535/,1.763,1.99,-1.5,1.833,1.5,1.9,155.5,1.869,155.5,1.869,2026-03-08 19:25:18
Spartans Distrito Capital,Guaiqueries De Margarita,https://www.pinnacle.com/en/basketball/venezuela-superliga/spartans-distrito-capital-vs-guaiqueries-de-margarita/1625663481/,1.418,2.68,-5.0,1.917,5.0,1.826,155.0,1.909,155.0,1.826,2026-03-08 19:47:11
Brillantes del Zulia,Heroes de Falcon,https://www.pinnacle.com/en/basketball/venezuela-superliga/brillantes-del-zulia-vs-heroes-de-falcon/1625656535/,1.763,1.99,-1.5,1.833,1.5,1.9,155.5,1.869,155.5,1.869,2026-03-08 19:47:11
Pioneros Del Avila,Piratas de La Guaira,https://www.pinnacle.com/en/basketball/venezuela-superliga/pioneros-del-avila-vs-piratas-de-la-guaira/1625658165/,1.34,2.98,-5.5,1.84,5.5,1.892,161.5,1.917,161.5,1.819,2026-03-08 19:47:11
