Market,Selection,Odds,matchup,timestamp
Money Line – Game,Caribenas de Caracas,1.141,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Money Line – Game,Atletico Sucre,4.08,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -7.0,1.564,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +7.0,2.27,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -7.5,1.606,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +7.5,2.19,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -8.0,1.657,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +8.0,2.11,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -8.5,1.719,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +8.5,2.03,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -9.0,1.787,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +9.0,1.952,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -9.5,1.833,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +9.5,1.833,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -10.0,1.952,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +10.0,1.787,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -10.5,2.03,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +10.5,1.719,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -11.0,2.1,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +11.0,1.657,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -11.5,2.19,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +11.5,1.609,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Caribenas de Caracas -12.0,2.27,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Handicap – Game,Atletico Sucre +12.0,1.568,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 132,1.653,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 132,2.14,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 132.5,1.689,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 132.5,2.09,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 133,1.729,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 133,2.03,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 133.5,1.769,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 133.5,1.98,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 134,1.819,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 134,1.925,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 134.5,1.833,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 134.5,1.833,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 135,1.925,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 135,1.813,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 135.5,1.99,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 135.5,1.763,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 136,2.04,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 136,1.724,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 136.5,2.1,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 136.5,1.684,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Over 137,2.15,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Total – Game,Under 137,1.649,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:38:34
Money Line – Game,Hidrocarburos De Caracas,1.318,Hidrocarburos De Caracas vs Costaneras Puerto Cabello,2026-03-19 19:53:24
Money Line – Game,Costaneras Puerto Cabello,2.87,Hidrocarburos De Caracas vs Costaneras Puerto Cabello,2026-03-19 19:53:24
Handicap – Game,Hidrocarburos De Caracas -5.5,1.833,Hidrocarburos De Caracas vs Costaneras Puerto Cabello,2026-03-19 19:53:24
Handicap – Game,Costaneras Puerto Cabello +5.5,1.833,Hidrocarburos De Caracas vs Costaneras Puerto Cabello,2026-03-19 19:53:24
Total – Game,Over 135.5,1.833,Hidrocarburos De Caracas vs Costaneras Puerto Cabello,2026-03-19 19:53:24
Total – Game,Under 135.5,1.833,Hidrocarburos De Caracas vs Costaneras Puerto Cabello,2026-03-19 19:53:24
Money Line – Game,Caribenas de Caracas,1.141,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Money Line – Game,Atletico Sucre,4.08,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Caribenas de Caracas -7.0,1.564,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Atletico Sucre +7.0,2.27,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Caribenas de Caracas -7.5,1.606,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Atletico Sucre +7.5,2.19,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Caribenas de Caracas -8.0,1.657,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Atletico Sucre +8.0,2.11,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Caribenas de Caracas -8.5,1.719,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Atletico Sucre +8.5,2.03,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Caribenas de Caracas -9.0,1.787,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Atletico Sucre +9.0,1.952,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Caribenas de Caracas -9.5,1.833,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Atletico Sucre +9.5,1.833,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Caribenas de Caracas -10.0,1.952,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Atletico Sucre +10.0,1.787,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Caribenas de Caracas -10.5,2.03,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
Handicap – Game,Atletico Sucre +10.5,1.719,Caribenas de Caracas vs Atletico Sucre,2026-03-19 19:53:24
