team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 09:03:51
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 09:38:14
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 09:46:06
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 09:58:29
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 10:06:30
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 10:33:44
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 10:39:56
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 10:52:12
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 11:25:43
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 11:32:51
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 11:45:34
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 11:58:02
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.636,2.17,-2.5,1.84,2.5,1.9,168.5,1.847,168.5,1.892,2025-10-13 12:05:45
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.684,2.1,-2.5,1.892,2.5,1.847,168.5,1.847,168.5,1.892,2025-10-13 12:59:19
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.943,1.8,2.0,1.862,-2.0,1.877,168.5,1.84,168.5,1.9,2025-10-13 14:32:58
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,1.943,1.8,2.0,1.862,-2.0,1.877,168.5,1.84,168.5,1.9,2025-10-13 14:39:12
Al Ahli (UAE),Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/west-asia-super-league/al-ahli-uae-vs-al-ittihad-jeddah/1617350373/,,,,,,,,,,,2025-10-13 14:49:56
