Market,Selection,Odds,matchup,timestamp
Money Line – Game,Las Vegas Aces,2.58,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:34:41
Money Line – Game,Phoenix Mercury,1.534,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:34:41
Handicap – Game,Las Vegas Aces +4.5,1.9,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:34:41
Handicap – Game,Phoenix Mercury -4.5,1.952,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:34:41
Total – Game,Over 163.5,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:34:41
Total – Game,Under 163.5,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:34:41
Total – Game,Under 163.5,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:45:36
Handicap – Game,Phoenix Mercury -4.5,1.952,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:45:36
Total – Game,Over 163.5,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:45:36
Money Line – Game,Phoenix Mercury,1.534,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:45:36
Money Line – Game,Las Vegas Aces,2.58,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:45:36
Handicap – Game,Las Vegas Aces +4.5,1.9,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:45:36
Money Line – Game,Las Vegas Aces,2.58,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:58:02
Money Line – Game,Phoenix Mercury,1.534,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:58:02
Handicap – Game,Las Vegas Aces +4.5,1.9,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:58:02
Handicap – Game,Phoenix Mercury -4.5,1.952,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:58:02
Total – Game,Over 163.5,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:58:02
Total – Game,Under 163.5,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-08 22:58:02
Total – Game,Over 163.5,1.961,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:24:36
Total – Game,Under 163.5,1.892,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:24:36
Handicap – Game,Phoenix Mercury -4.5,1.961,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:24:36
Money Line – Game,Phoenix Mercury,1.537,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:24:36
Money Line – Game,Las Vegas Aces,2.58,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:24:36
Handicap – Game,Las Vegas Aces +4.5,1.892,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:24:36
Money Line – Game,Las Vegas Aces,2.57,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:42:08
Money Line – Game,Phoenix Mercury,1.537,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:42:08
Handicap – Game,Las Vegas Aces +4.5,1.884,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:42:08
Handicap – Game,Phoenix Mercury -4.5,1.961,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:42:08
Total – Game,Over 163.5,1.98,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:42:08
Total – Game,Under 163.5,1.869,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:42:08
Money Line – Game,Las Vegas Aces,2.57,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:47:56
Money Line – Game,Phoenix Mercury,1.537,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:47:56
Handicap – Game,Las Vegas Aces +4.5,1.884,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:47:56
Handicap – Game,Phoenix Mercury -4.5,1.961,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:47:56
Total – Game,Over 163.5,1.98,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:47:56
Total – Game,Under 163.5,1.869,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:47:56
Total – Game,Over 163.5,1.98,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:55:25
Total – Game,Under 163.5,1.877,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:55:25
Handicap – Game,Phoenix Mercury -4.5,1.961,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:55:25
Money Line – Game,Phoenix Mercury,1.543,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:55:25
Handicap – Game,Las Vegas Aces +4.5,1.892,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:55:25
Money Line – Game,Las Vegas Aces,2.56,Las Vegas Aces vs Phoenix Mercury,2025-10-08 23:55:25
Money Line – Game,Las Vegas Aces,1.8,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:39:43
Money Line – Game,Phoenix Mercury,2.07,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:39:43
Handicap – Game,Las Vegas Aces -2.0,1.917,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:39:43
Handicap – Game,Phoenix Mercury +2.0,1.934,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:39:43
Total – Game,Over 163,1.869,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:39:43
Total – Game,Under 163,1.98,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:39:43
Total – Game,Under 164,2.0,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:47:32
Total – Game,Over 164,1.862,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:47:32
Handicap – Game,Phoenix Mercury +2.0,1.934,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:47:32
Money Line – Game,Las Vegas Aces,1.8,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:47:32
Money Line – Game,Phoenix Mercury,2.07,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:47:32
Handicap – Game,Las Vegas Aces -2.0,1.917,Las Vegas Aces vs Phoenix Mercury,2025-10-10 20:47:32
Total – Game,Over 165,1.952,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:00:34
Total – Game,Under 165,1.9,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:00:34
Handicap – Game,Phoenix Mercury +2.0,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:00:34
Money Line – Game,Phoenix Mercury,2.06,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:00:34
Money Line – Game,Las Vegas Aces,1.806,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:00:34
Handicap – Game,Las Vegas Aces -2.0,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:00:34
Money Line – Game,Las Vegas Aces,1.806,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:24:08
Money Line – Game,Phoenix Mercury,2.06,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:24:08
Handicap – Game,Las Vegas Aces -2.0,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:24:08
Handicap – Game,Phoenix Mercury +2.0,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:24:08
Total – Game,Over 165,1.97,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:24:08
Total – Game,Under 165,1.884,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:24:08
Total – Game,Over 165,1.97,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:30:57
Money Line – Game,Las Vegas Aces,1.806,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:30:57
Money Line – Game,Phoenix Mercury,2.06,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:30:57
Handicap – Game,Las Vegas Aces -2.0,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:30:57
Handicap – Game,Phoenix Mercury +2.0,1.925,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:30:57
Total – Game,Under 165,1.884,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:30:57
Total – Game,Over 165,1.98,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:43:35
Total – Game,Under 165,1.869,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:43:35
Handicap – Game,Phoenix Mercury +2.0,1.917,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:43:35
Handicap – Game,Las Vegas Aces -2.0,1.934,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:43:35
Money Line – Game,Phoenix Mercury,2.06,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:43:35
Money Line – Game,Las Vegas Aces,1.813,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:43:35
Money Line – Game,Las Vegas Aces,1.813,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:50:13
Money Line – Game,Phoenix Mercury,2.06,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:50:13
Handicap – Game,Las Vegas Aces -2.0,1.934,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:50:13
Handicap – Game,Phoenix Mercury +2.0,1.917,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:50:13
Total – Game,Over 165,1.98,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:50:13
Total – Game,Under 165,1.869,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:50:13
Total – Game,Under 165,1.869,Las Vegas Aces vs Phoenix Mercury,2025-10-10 21:58:13
