Market,Selection,Odds,matchup,timestamp
Money Line – Game,Seattle Storm,3.07,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Money Line – Game,Las Vegas Aces,1.401,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Handicap – Game,Seattle Storm +5.5,1.961,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Handicap – Game,Las Vegas Aces -5.5,1.892,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Total – Game,Over 161,1.877,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Total – Game,Under 161,1.98,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Team Total – Game,Seattle Storm Over 78,1.877,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Team Total – Game,Las Vegas Aces Under 78,1.943,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Team Total – Game,Seattle Storm Over 83.5,1.925,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Team Total – Game,Las Vegas Aces Under 83.5,1.892,Seattle Storm vs Las Vegas Aces,2025-09-14 23:23:42
Team Total – Game,Indiana Fever Under 78.5,1.869,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Team Total – Game,Atlanta Dream Over 78.5,1.917,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Team Total – Game,Indiana Fever Under 82,1.847,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Team Total – Game,Atlanta Dream Over 82,1.934,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Total – Game,Under 160,1.877,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Handicap – Game,Atlanta Dream -4.0,1.892,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Handicap – Game,Indiana Fever +4.0,1.925,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Money Line – Game,Indiana Fever,2.4,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Money Line – Game,Atlanta Dream,1.584,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Total – Game,Over 160,1.943,Atlanta Dream vs Indiana Fever,2025-09-15 23:24:12
Team Total – Game,Atlanta Dream Over 81.5,1.869,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Team Total – Game,Indiana Fever Under 78.5,1.943,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Team Total – Game,Atlanta Dream Over 78.5,1.877,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Team Total – Game,Indiana Fever Under 81.5,1.952,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Total – Game,Under 159.5,1.99,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Handicap – Game,Atlanta Dream -4.0,1.98,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Handicap – Game,Indiana Fever +4.0,1.869,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Money Line – Game,Indiana Fever,2.37,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Money Line – Game,Atlanta Dream,1.621,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Total – Game,Over 159.5,1.862,Atlanta Dream vs Indiana Fever,2025-09-16 23:19:02
Team Total – Game,Golden State Valkyries Under 80.5,1.934,Minnesota Lynx vs Golden State Valkyries,2025-09-17 23:16:13
Team Total – Game,Minnesota Lynx Over 70.5,1.934,Minnesota Lynx vs Golden State Valkyries,2025-09-17 23:16:13
Team Total – Game,Golden State Valkyries Under 70.5,1.884,Minnesota Lynx vs Golden State Valkyries,2025-09-17 23:16:13
Money Line – Game,Indiana Fever,3.63,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Money Line – Game,Atlanta Dream,1.295,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Handicap – Game,Indiana Fever +7.0,1.943,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Total – Game,Over 155,1.961,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Total – Game,Under 155,1.854,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Team Total – Game,Indiana Fever Over 74,1.934,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Team Total – Game,Atlanta Dream Under 74,1.854,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Team Total – Game,Indiana Fever Over 80,1.884,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Team Total – Game,Atlanta Dream Under 80,1.9,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Team Total – Game,Minnesota Lynx Over 80.5,1.884,Minnesota Lynx vs Golden State Valkyries,2025-09-17 23:16:13
Handicap – Game,Atlanta Dream -7.0,1.877,Indiana Fever vs Atlanta Dream,2025-09-17 23:16:13
Total – Game,Under 151.5,1.943,Minnesota Lynx vs Golden State Valkyries,2025-09-17 23:16:13
Money Line – Game,New York Liberty,1.518,Phoenix Mercury vs New York Liberty,2025-09-17 23:16:13
Handicap – Game,Golden State Valkyries +10.5,1.943,Minnesota Lynx vs Golden State Valkyries,2025-09-17 23:16:13
Money Line – Game,Phoenix Mercury,2.63,Phoenix Mercury vs New York Liberty,2025-09-17 23:16:13
Handicap – Game,Phoenix Mercury +4.5,1.925,Phoenix Mercury vs New York Liberty,2025-09-17 23:16:13
Handicap – Game,New York Liberty -4.5,1.925,Phoenix Mercury vs New York Liberty,2025-09-17 23:16:13
Total – Game,Over 159.5,1.943,Phoenix Mercury vs New York Liberty,2025-09-17 23:16:13
Total – Game,Over 151.5,1.909,Minnesota Lynx vs Golden State Valkyries,2025-09-17 23:16:13
Team Total – Game,Phoenix Mercury Over 77,1.934,Phoenix Mercury vs New York Liberty,2025-09-17 23:16:13
Total – Game,Under 159.5,1.909,Phoenix Mercury vs New York Liberty,2025-09-17 23:16:13
Team Total – Game,Phoenix Mercury Over 82,1.925,Phoenix Mercury vs New York Liberty,2025-09-17 23:16:13
Team Total – Game,New York Liberty Under 82,1.892,Phoenix Mercury vs New York Liberty,2025-09-17 23:16:13
Money Line – Game,Minnesota Lynx,1.169,Minnesota Lynx vs Golden State Valkyries,2025-09-17 23:16:13
