team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Richmond,Nebraska,https://www.pinnacle.com/en/basketball/wncaa/richmond-vs-nebraska/1626306924/,2.54,1.529,4.0,1.952,-4.0,1.869,138.5,1.909,138.5,1.909,2026-03-18 18:02:40
Richmond,Nebraska,https://www.pinnacle.com/en/basketball/wncaa/richmond-vs-nebraska/1626306924/,2.54,1.529,4.0,1.952,-4.0,1.869,138.5,1.909,138.5,1.909,2026-03-18 18:11:07
Richmond,Nebraska,https://www.pinnacle.com/en/basketball/wncaa/richmond-vs-nebraska/1626306924/,2.54,1.529,4.0,1.952,-4.0,1.869,138.5,1.909,138.5,1.909,2026-03-18 19:07:40
Richmond,Nebraska,https://www.pinnacle.com/en/basketball/wncaa/richmond-vs-nebraska/1626306924/,2.56,1.543,4.0,1.97,-4.0,1.884,138.5,1.925,138.5,1.925,2026-03-18 19:48:17
Richmond,Nebraska,https://www.pinnacle.com/en/basketball/wncaa/richmond-vs-nebraska/1626306924/,2.56,1.543,4.0,1.97,-4.0,1.884,138.5,1.925,138.5,1.925,2026-03-18 20:35:35
Richmond,Nebraska,https://www.pinnacle.com/en/basketball/wncaa/richmond-vs-nebraska/1626306924/,2.56,1.543,4.0,1.97,-4.0,1.884,138.5,1.925,138.5,1.925,2026-03-18 21:05:55
Richmond,Nebraska,https://www.pinnacle.com/en/basketball/wncaa/richmond-vs-nebraska/1626306924/,2.56,1.543,4.0,1.97,-4.0,1.884,138.5,1.925,138.5,1.925,2026-03-18 22:07:03
Richmond,Nebraska,https://www.pinnacle.com/en/basketball/wncaa/richmond-vs-nebraska/1626306924/,2.56,1.543,4.0,1.97,-4.0,1.884,138.5,1.925,138.5,1.925,2026-03-18 22:38:37
Samford,Southern,https://www.pinnacle.com/en/basketball/wncaa/samford-vs-southern/1626305884/,2.41,1.602,3.5,1.934,-3.5,1.917,118.5,1.9,118.5,1.952,2026-03-19 19:53:32
Samford,Southern,https://www.pinnacle.com/en/basketball/wncaa/samford-vs-southern/1626305884/,2.41,1.602,3.5,1.934,-3.5,1.917,118.5,1.9,118.5,1.952,2026-03-19 20:13:43
Samford,Southern,https://www.pinnacle.com/en/basketball/wncaa/samford-vs-southern/1626305884/,2.41,1.602,3.5,1.934,-3.5,1.917,118.5,1.9,118.5,1.952,2026-03-19 21:10:51
Samford,Southern,https://www.pinnacle.com/en/basketball/wncaa/samford-vs-southern/1626305884/,2.41,1.602,3.5,1.934,-3.5,1.917,118.5,1.9,118.5,1.952,2026-03-19 21:41:14
Samford,Southern,https://www.pinnacle.com/en/basketball/wncaa/samford-vs-southern/1626305884/,2.41,1.602,3.5,1.934,-3.5,1.917,118.5,1.9,118.5,1.952,2026-03-19 22:28:33
Samford,Southern,https://www.pinnacle.com/en/basketball/wncaa/samford-vs-southern/1626305884/,2.41,1.602,3.5,1.934,-3.5,1.917,118.5,1.9,118.5,1.952,2026-03-19 22:58:22
Holy Cross,Michigan,https://www.pinnacle.com/en/basketball/wncaa/holy-cross-vs-michigan/1626539120/,,,41.0,1.925,-41.0,1.925,131.5,1.925,131.5,1.925,2026-03-20 20:30:26
Western Illinois,North Carolina,https://www.pinnacle.com/en/basketball/wncaa/western-illinois-vs-north-carolina/1626512406/,,,26.5,1.99,-26.5,1.862,132.5,1.877,132.5,1.97,2026-03-20 20:30:26
Jacksonville,LSU,https://www.pinnacle.com/en/basketball/wncaa/jacksonville-vs-lsu/1626512409/,,,52.0,1.98,-52.0,1.877,162.0,1.9,162.0,1.952,2026-03-20 20:30:26
Wisc Green Bay,Minnesota,https://www.pinnacle.com/en/basketball/wncaa/wisc-green-bay-vs-minnesota/1626512407/,,,23.5,1.952,-23.5,1.9,124.0,1.877,124.0,1.98,2026-03-20 20:30:26
Colorado State,Michigan State,https://www.pinnacle.com/en/basketball/wncaa/colorado-state-vs-michigan-state/1626539128/,,,18.5,1.925,-18.5,1.925,134.5,1.925,134.5,1.925,2026-03-20 20:30:26
Western Illinois,North Carolina,https://www.pinnacle.com/en/basketball/wncaa/western-illinois-vs-north-carolina/1626512406/,,,26.5,1.99,-26.5,1.862,132.5,1.877,132.5,1.97,2026-03-20 21:19:14
Holy Cross,Michigan,https://www.pinnacle.com/en/basketball/wncaa/holy-cross-vs-michigan/1626539120/,,,41.0,1.925,-41.0,1.925,131.5,1.925,131.5,1.925,2026-03-20 21:19:14
Wisc Green Bay,Minnesota,https://www.pinnacle.com/en/basketball/wncaa/wisc-green-bay-vs-minnesota/1626512407/,,,23.5,1.952,-23.5,1.9,124.0,1.877,124.0,1.98,2026-03-20 21:19:14
Jacksonville,LSU,https://www.pinnacle.com/en/basketball/wncaa/jacksonville-vs-lsu/1626512409/,,,52.0,1.98,-52.0,1.877,162.0,1.9,162.0,1.952,2026-03-20 21:19:14
Colorado State,Michigan State,https://www.pinnacle.com/en/basketball/wncaa/colorado-state-vs-michigan-state/1626539128/,,,18.5,1.925,-18.5,1.925,134.5,1.925,134.5,1.925,2026-03-20 21:19:14
Colorado State,Michigan State,https://www.pinnacle.com/en/basketball/wncaa/colorado-state-vs-michigan-state/1626539128/,,,18.5,1.925,-18.5,1.925,134.5,1.925,134.5,1.925,2026-03-20 22:05:35
Colorado State,Michigan State,https://www.pinnacle.com/en/basketball/wncaa/colorado-state-vs-michigan-state/1626539128/,,,18.5,1.925,-18.5,1.925,134.5,1.925,134.5,1.925,2026-03-20 22:37:36
Colorado State,Michigan State,https://www.pinnacle.com/en/basketball/wncaa/colorado-state-vs-michigan-state/1626539128/,,,18.5,1.925,-18.5,1.925,134.5,1.925,134.5,1.925,2026-03-20 23:16:59
Fairleigh Dickinson,Iowa,https://www.pinnacle.com/en/basketball/wncaa/fairleigh-dickinson-vs-iowa/1626512631/,,,32.0,1.98,-32.0,1.869,129.5,1.97,129.5,1.884,2026-03-21 19:37:19
Miami Ohio,West Virginia,https://www.pinnacle.com/en/basketball/wncaa/miami-ohio-vs-west-virginia/1626596443/,,,25.5,1.925,-25.5,1.925,125.5,1.925,125.5,1.925,2026-03-21 19:37:19
Syracuse,Iowa State,https://www.pinnacle.com/en/basketball/wncaa/syracuse-vs-iowa-state/1626512421/,3.33,1.354,6.5,1.943,-6.5,1.909,148.5,1.925,148.5,1.925,2026-03-21 19:37:19
High Point,Vanderbilt,https://www.pinnacle.com/en/basketball/wncaa/high-point-vs-vanderbilt/1626512634/,,,37.5,1.925,-37.5,1.925,147.5,1.925,147.5,1.925,2026-03-21 19:37:19
Princeton,Oklahoma State,https://www.pinnacle.com/en/basketball/wncaa/princeton-vs-oklahoma-state/1626512636/,3.24,1.354,7.0,1.854,-7.0,1.961,136.5,1.826,136.5,2.0,2026-03-21 19:37:19
Miami Ohio,West Virginia,https://www.pinnacle.com/en/basketball/wncaa/miami-ohio-vs-west-virginia/1626596443/,,,25.5,1.925,-25.5,1.925,125.5,1.925,125.5,1.925,2026-03-21 20:37:36
Syracuse,Iowa State,https://www.pinnacle.com/en/basketball/wncaa/syracuse-vs-iowa-state/1626512421/,3.33,1.354,6.5,1.943,-6.5,1.909,148.5,1.925,148.5,1.925,2026-03-21 20:37:36
