Market,Selection,Odds,matchup,timestamp
Money Line – Game,National Taiwan University,1.012,National Taiwan University vs Fo Guang University,2025-09-26 23:08:19
Total – Game,Under 148.5,1.793,Fenerbahce SK vs Besiktas JK,2025-09-26 23:08:19
Total – Game,Over 148.5,1.806,Fenerbahce SK vs Besiktas JK,2025-09-26 23:08:19
Handicap – Game,Besiktas JK +4.5,1.8,Fenerbahce SK vs Besiktas JK,2025-09-26 23:08:19
Handicap – Game,Fenerbahce SK -4.5,1.8,Fenerbahce SK vs Besiktas JK,2025-09-26 23:08:19
Money Line – Game,Besiktas JK,2.47,Fenerbahce SK vs Besiktas JK,2025-09-26 23:08:19
Money Line – Game,Fenerbahce SK,1.395,Fenerbahce SK vs Besiktas JK,2025-09-26 23:08:19
Total – Game,Under 146.5,1.724,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:08:19
Handicap – Game,Ogm Ormanspor +13.5,1.751,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:08:19
Handicap – Game,Kayseri Basketbol -13.5,1.847,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:08:19
Money Line – Game,Ogm Ormanspor,4.25,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:08:19
Money Line – Game,Kayseri Basketbol,1.094,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:08:19
Total – Game,Under 145.5,1.8,Chinese Culture University vs Shanghai Jiao Tong University,2025-09-26 23:08:19
Total – Game,Over 145.5,1.8,Chinese Culture University vs Shanghai Jiao Tong University,2025-09-26 23:08:19
Total – Game,Over 146.5,1.877,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:08:19
Handicap – Game,Chinese Culture University +28.5,1.813,Chinese Culture University vs Shanghai Jiao Tong University,2025-09-26 23:08:19
Handicap – Game,Shanghai Jiao Tong University -28.5,1.787,Chinese Culture University vs Shanghai Jiao Tong University,2025-09-26 23:08:19
Handicap – Game,National Taiwan University -19.0,1.769,National Taiwan University vs Fo Guang University,2025-09-26 23:08:19
Handicap – Game,Fo Guang University +19.0,1.826,National Taiwan University vs Fo Guang University,2025-09-26 23:08:19
Total – Game,Over 132.5,1.769,National Taiwan University vs Fo Guang University,2025-09-26 23:08:19
Total – Game,Under 132.5,1.833,National Taiwan University vs Fo Guang University,2025-09-26 23:08:19
Money Line – Game,Shenzhen University,3.13,Shenzhen University vs Shih Hsin University,2025-09-26 23:08:19
Money Line – Game,Fo Guang University,6.7,National Taiwan University vs Fo Guang University,2025-09-26 23:08:19
Handicap – Game,Shenzhen University +7.0,1.813,Shenzhen University vs Shih Hsin University,2025-09-26 23:08:19
Handicap – Game,Shih Hsin University -7.0,1.787,Shenzhen University vs Shih Hsin University,2025-09-26 23:08:19
Total – Game,Over 130.5,1.793,Shenzhen University vs Shih Hsin University,2025-09-26 23:08:19
Total – Game,Under 130.5,1.806,Shenzhen University vs Shih Hsin University,2025-09-26 23:08:19
Money Line – Game,Shih Hsin University,1.221,Shenzhen University vs Shih Hsin University,2025-09-26 23:08:19
Money Line – Game,Kayseri Basketbol,1.094,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:25:03
Money Line – Game,Ogm Ormanspor,4.25,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:25:03
Handicap – Game,Kayseri Basketbol -13.5,1.847,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:25:03
Handicap – Game,Ogm Ormanspor +13.5,1.751,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:25:03
Total – Game,Over 146.5,1.877,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:25:03
Total – Game,Under 146.5,1.724,Kayseri Basketbol vs Ogm Ormanspor,2025-09-26 23:25:03
Handicap – Game,Fenerbahce SK -4.5,1.8,Fenerbahce SK vs Besiktas JK,2025-09-26 23:25:03
Money Line – Game,Besiktas JK,2.47,Fenerbahce SK vs Besiktas JK,2025-09-26 23:25:03
Handicap – Game,Besiktas JK +4.5,1.8,Fenerbahce SK vs Besiktas JK,2025-09-26 23:25:03
