team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
National Taiwan University,Fo Guang University,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/national-taiwan-university-vs-fo-guang-university/1616299910/,1.014,6.49,-17.5,1.719,17.5,1.884,132.5,1.806,132.5,1.793,2025-09-26 23:08:19
Shenzhen University,Shih Hsin University,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/shenzhen-university-vs-shih-hsin-university/1616319889/,3.01,1.245,6.5,1.8,-6.5,1.8,130.5,1.8,130.5,1.8,2025-09-26 23:08:19
Chinese Culture University,Shanghai Jiao Tong University,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/chinese-culture-university-vs-shanghai-jiao-tong-university/1616318730/,,,28.5,1.813,-28.5,1.787,145.5,1.8,145.5,1.8,2025-09-26 23:08:19
Kayseri Basketbol,Ogm Ormanspor,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/kayseri-basketbol-vs-ogm-ormanspor/1616247869/,1.094,4.25,-13.5,1.847,13.5,1.751,146.5,1.877,146.5,1.724,2025-09-26 23:08:19
Fenerbahce SK,Besiktas JK,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/fenerbahce-sk-vs-besiktas-jk/1616318177/,1.395,2.47,-4.5,1.8,4.5,1.8,148.5,1.806,148.5,1.793,2025-09-26 23:08:19
National Taiwan University,Fo Guang University,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/national-taiwan-university-vs-fo-guang-university/1616299910/,1.012,6.7,-19.0,1.769,19.0,1.826,132.5,1.769,132.5,1.833,2025-09-26 23:25:03
Shenzhen University,Shih Hsin University,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/shenzhen-university-vs-shih-hsin-university/1616319889/,3.16,1.216,7.0,1.833,-7.0,1.769,130.5,1.793,130.5,1.806,2025-09-26 23:25:03
Chinese Culture University,Shanghai Jiao Tong University,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/chinese-culture-university-vs-shanghai-jiao-tong-university/1616318730/,,,28.5,1.813,-28.5,1.787,145.5,1.8,145.5,1.8,2025-09-26 23:25:03
Kayseri Basketbol,Ogm Ormanspor,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/kayseri-basketbol-vs-ogm-ormanspor/1616247869/,1.094,4.25,-13.5,1.847,13.5,1.751,146.5,1.877,146.5,1.724,2025-09-26 23:25:03
Fenerbahce SK,Besiktas JK,https://www.pinnacle.com/en/basketball/world-club-friendlies-women/fenerbahce-sk-vs-besiktas-jk/1616318177/,1.395,2.47,-4.5,1.8,4.5,1.8,148.5,1.806,148.5,1.793,2025-09-26 23:25:03
