Market,Selection,Odds,matchup,timestamp
Handicap – Game,AL Ahly Tripoli +23.5,1.862,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:10:06
Handicap – Game,Unicaja Malaga -23.5,1.877,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:10:06
Total – Game,Over 164.5,1.847,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:10:06
Total – Game,Under 164.5,1.892,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:10:06
Handicap – Game,AL Ahly Tripoli +23.5,1.862,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:17:44
Handicap – Game,Unicaja Malaga -23.5,1.877,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:17:44
Total – Game,Over 164.5,1.847,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:17:44
Total – Game,Under 164.5,1.892,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:17:44
Total – Game,Under 164.5,1.892,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:51:51
Total – Game,Over 164.5,1.847,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:51:51
Handicap – Game,Unicaja Malaga -23.5,1.877,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:51:51
Handicap – Game,AL Ahly Tripoli +23.5,1.862,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 03:51:51
Handicap – Game,AL Ahly Tripoli +23.5,1.862,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 04:01:48
Handicap – Game,Unicaja Malaga -23.5,1.877,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 04:01:48
Total – Game,Over 164.5,1.847,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 04:01:48
Total – Game,Under 164.5,1.892,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 04:01:48
Handicap – Game,AL Ahly Tripoli +23.5,1.862,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 04:07:13
Handicap – Game,Unicaja Malaga -23.5,1.877,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 04:07:13
Total – Game,Over 164.5,1.847,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 04:07:13
Total – Game,Under 164.5,1.892,AL Ahly Tripoli vs Unicaja Malaga,2025-09-18 04:07:13
